Date,Ticker,Sector,Open,High,Low,Close,Adj Close,Volume
2023-12-12,APOLLOHOSP,Pharma,5550.0,5550.0,5403.2001953125,5428.9501953125,5394.0087890625,615205
2023-12-13,APOLLOHOSP,Pharma,5402.9501953125,5452.0,5369.39990234375,5426.75,5391.8232421875,476781
2023-12-14,APOLLOHOSP,Pharma,5494.7998046875,5532.9501953125,5452.10009765625,5515.89990234375,5480.3994140625,490550
2023-12-15,APOLLOHOSP,Pharma,5530.0,5588.0,5500.0,5551.2001953125,5515.47314453125,349758
2023-12-18,APOLLOHOSP,Pharma,5550.5,5607.75,5494.0,5498.64990234375,5463.259765625,428321
2023-12-19,APOLLOHOSP,Pharma,5508.7998046875,5675.35009765625,5503.7001953125,5555.5,5519.744140625,682732
2023-12-20,APOLLOHOSP,Pharma,5555.5,5605.7998046875,5375.10009765625,5402.2001953125,5367.431640625,437044
2023-12-21,APOLLOHOSP,Pharma,5344.0,5553.0,5284.85009765625,5475.85009765625,5440.60693359375,487514
2023-12-22,APOLLOHOSP,Pharma,5510.0,5549.0,5462.7001953125,5541.39990234375,5505.73486328125,220537
2023-12-26,APOLLOHOSP,Pharma,5541.39990234375,5645.0,5526.14990234375,5633.14990234375,5596.89404296875,243281
2023-12-27,APOLLOHOSP,Pharma,5635.0,5715.0,5615.60009765625,5687.4501953125,5650.845703125,307177
2023-12-28,APOLLOHOSP,Pharma,5675.0,5770.0,5674.75,5760.5,5723.42529296875,568149
2023-12-29,APOLLOHOSP,Pharma,5740.0,5758.9501953125,5677.2998046875,5704.10009765625,5667.388671875,325682
2024-01-01,APOLLOHOSP,Pharma,5741.0,5765.0,5707.85009765625,5750.0498046875,5713.0419921875,127030
2024-01-02,APOLLOHOSP,Pharma,5738.10009765625,5782.64990234375,5680.0,5746.35009765625,5709.36669921875,166449
2024-01-03,APOLLOHOSP,Pharma,5730.0,5786.0,5673.0498046875,5768.2998046875,5731.1748046875,198997
2024-01-04,APOLLOHOSP,Pharma,5768.2998046875,5839.9501953125,5731.5,5762.2001953125,5725.1142578125,220702
2024-01-05,APOLLOHOSP,Pharma,5762.2001953125,5808.7998046875,5715.0,5754.25,5717.21484375,144894
2024-01-08,APOLLOHOSP,Pharma,5750.0,5774.85009765625,5640.0,5682.0,5645.43017578125,157009
2024-01-09,APOLLOHOSP,Pharma,5702.2001953125,5849.0,5674.7001953125,5797.64990234375,5760.33642578125,329437
2024-01-10,APOLLOHOSP,Pharma,5800.0,5819.2998046875,5721.2998046875,5800.89990234375,5763.5654296875,239740
2024-01-11,APOLLOHOSP,Pharma,5804.0,5892.0,5802.25,5869.89990234375,5832.12109375,213210
2024-01-12,APOLLOHOSP,Pharma,5870.0,5922.0,5742.85009765625,5795.7001953125,5758.39892578125,250919
2024-01-15,APOLLOHOSP,Pharma,5835.0,5924.14990234375,5804.0,5896.39990234375,5858.4501953125,375458
2024-01-16,APOLLOHOSP,Pharma,5882.0,5967.4501953125,5829.0,5904.5498046875,5866.5478515625,347797
2024-01-17,APOLLOHOSP,Pharma,5872.85009765625,5980.35009765625,5831.25,5925.89990234375,5887.7607421875,378205
2024-01-18,APOLLOHOSP,Pharma,5959.0,6028.9501953125,5838.0,5990.85009765625,5952.29296875,591170
2024-01-19,APOLLOHOSP,Pharma,5987.0,6120.0,5951.0,6094.64990234375,6055.4248046875,326813
2024-01-23,APOLLOHOSP,Pharma,6428.0,6428.7001953125,6133.64990234375,6153.75,6114.14404296875,982889
2024-01-24,APOLLOHOSP,Pharma,6153.5498046875,6230.0,6083.35009765625,6213.35009765625,6173.36083984375,435151
2024-01-25,APOLLOHOSP,Pharma,6210.0498046875,6238.2001953125,6119.10009765625,6168.85009765625,6129.14697265625,337391
2024-01-29,APOLLOHOSP,Pharma,6199.0498046875,6349.0,6177.7998046875,6329.75,6289.01171875,554591
2024-01-30,APOLLOHOSP,Pharma,6331.0,6387.85009765625,6283.7998046875,6309.7998046875,6269.189453125,304312
2024-01-31,APOLLOHOSP,Pharma,6280.0,6371.64990234375,6255.5498046875,6352.9501953125,6312.0625,499281
2024-02-01,APOLLOHOSP,Pharma,6289.64990234375,6377.0,6267.7998046875,6287.9501953125,6247.48095703125,255111
2024-02-02,APOLLOHOSP,Pharma,6320.0,6359.0498046875,6291.2998046875,6320.5498046875,6279.87060546875,239428
2024-02-05,APOLLOHOSP,Pharma,6320.5498046875,6346.60009765625,6209.2001953125,6234.5,6194.375,147909
2024-02-06,APOLLOHOSP,Pharma,6259.9501953125,6297.89990234375,6155.0498046875,6197.2998046875,6157.4130859375,326654
2024-02-07,APOLLOHOSP,Pharma,6237.75,6248.85009765625,6155.0,6177.9501953125,6138.18896484375,323738
2024-02-08,APOLLOHOSP,Pharma,6201.5,6363.2001953125,6150.0,6231.0,6190.89697265625,794455
2024-02-09,APOLLOHOSP,Pharma,6269.39990234375,6473.9501953125,6213.60009765625,6437.35009765625,6395.91943359375,933104
2024-02-12,APOLLOHOSP,Pharma,6464.89990234375,6677.7998046875,6375.0,6614.4501953125,6571.87890625,709946
2024-02-13,APOLLOHOSP,Pharma,6614.4501953125,6740.0,6598.25,6718.89990234375,6675.65673828125,521773
2024-02-14,APOLLOHOSP,Pharma,6718.7998046875,6775.0,6700.0,6754.10009765625,6710.63037109375,452781
2024-02-15,APOLLOHOSP,Pharma,6750.0,6764.39990234375,6585.60009765625,6627.60009765625,6584.94482421875,446114
2024-02-16,APOLLOHOSP,Pharma,6631.0498046875,6660.4501953125,6525.10009765625,6600.5498046875,6558.068359375,391508
2024-02-19,APOLLOHOSP,Pharma,6620.0,6675.9501953125,6511.0498046875,6657.14990234375,6614.30419921875,334607
2024-02-20,APOLLOHOSP,Pharma,6667.5,6785.0,6637.85009765625,6759.4501953125,6722.00439453125,559251
2024-02-21,APOLLOHOSP,Pharma,6784.9501953125,6821.9501953125,6717.2998046875,6760.14990234375,6722.70068359375,537325
2024-02-22,APOLLOHOSP,Pharma,6765.0,6874.4501953125,6690.0498046875,6769.2001953125,6731.70068359375,564432
2024-02-23,APOLLOHOSP,Pharma,6779.0,6786.7998046875,6723.10009765625,6774.0498046875,6736.5234375,352524
2024-02-26,APOLLOHOSP,Pharma,6769.9501953125,6791.75,6570.89990234375,6584.0,6547.52685546875,453443
2024-02-27,APOLLOHOSP,Pharma,6588.0,6668.4501953125,6570.0,6620.60009765625,6583.923828125,313760
2024-02-28,APOLLOHOSP,Pharma,6630.0,6630.0,6345.2998046875,6362.35009765625,6327.10400390625,536602
2024-02-29,APOLLOHOSP,Pharma,6392.5498046875,6392.5498046875,6062.0498046875,6101.60009765625,6067.798828125,1543361
2024-03-01,APOLLOHOSP,Pharma,6102.0,6107.0,5941.85009765625,6085.39990234375,6051.6884765625,1749136
2024-03-04,APOLLOHOSP,Pharma,6145.0,6171.75,6022.85009765625,6033.2998046875,5999.876953125,551616
2024-03-05,APOLLOHOSP,Pharma,6035.0498046875,6103.5,5976.2001953125,6061.10009765625,6027.5234375,724456
2024-03-06,APOLLOHOSP,Pharma,6025.0,6078.89990234375,5945.0,6054.2998046875,6020.7607421875,588776
2024-03-07,APOLLOHOSP,Pharma,6065.5,6142.85009765625,6032.0,6048.7998046875,6015.29150390625,738112
2024-03-11,APOLLOHOSP,Pharma,6048.7998046875,6225.0,6036.10009765625,6204.7001953125,6170.32763671875,521556
2024-03-12,APOLLOHOSP,Pharma,6240.0,6274.25,6107.5,6144.7998046875,6110.75927734375,482112
2024-03-13,APOLLOHOSP,Pharma,6180.0,6180.0,5956.0498046875,6008.39990234375,5975.11474609375,356191
2024-03-14,APOLLOHOSP,Pharma,6008.39990234375,6095.0,5980.0,6023.14990234375,5989.783203125,439181
2024-03-15,APOLLOHOSP,Pharma,6015.0,6030.85009765625,5941.60009765625,5983.2001953125,5950.0546875,764270
2024-03-18,APOLLOHOSP,Pharma,5997.75,6144.9501953125,5978.64990234375,6136.5498046875,6102.5546875,419258
2024-03-19,APOLLOHOSP,Pharma,6077.0,6125.7001953125,6034.0498046875,6113.2001953125,6079.33447265625,542392
2024-03-20,APOLLOHOSP,Pharma,6148.0,6200.7001953125,6073.4501953125,6174.0498046875,6139.8466796875,413963
2024-03-21,APOLLOHOSP,Pharma,6189.89990234375,6214.39990234375,6105.60009765625,6182.5,6148.25048828125,350032
2024-03-22,APOLLOHOSP,Pharma,6169.14990234375,6390.89990234375,6168.7001953125,6375.89990234375,6340.5791015625,727548
2024-03-26,APOLLOHOSP,Pharma,6398.0,6463.4501953125,6309.5,6322.4501953125,6287.42578125,629120
2024-03-27,APOLLOHOSP,Pharma,6355.0,6399.39990234375,6220.0,6231.4501953125,6196.9296875,603420
2024-03-28,APOLLOHOSP,Pharma,6231.4501953125,6425.60009765625,6112.5,6356.7998046875,6321.5849609375,818070
2024-04-01,APOLLOHOSP,Pharma,6401.0,6557.0,6372.75,6457.25,6421.47802734375,440465
2024-04-02,APOLLOHOSP,Pharma,6469.5,6469.5,6404.2001953125,6419.75,6384.1865234375,213898
2024-04-03,APOLLOHOSP,Pharma,6399.5498046875,6409.0,6311.0,6375.0498046875,6339.73388671875,289202
