Ticker,Sector,Date,Return_1d,Return_5d,Return_20d,Return_60d,Vol_5d,Vol_20d,Vol_60d,SMA_10_ratio,SMA_50_ratio,SMA_200_ratio,SMA_50_200_ratio,RSI_14,MACD,MACD_signal,MACD_hist,Beta_60d,Volume_ratio_20d,Rel_return_20d,Target
AXISBANK,Banking,2024-09-09,0.010442333885188448,-0.0029826793729241796,0.0012601460418142196,-0.00014424303972500238,0.011758326568325428,0.009710759360113846,0.01302106447851355,0.9946818935664417,0.9694644405641686,1.0362756641820923,1.0689156000183395,51.27173207870162,-4.166013199576128,-6.3647355996431285,2.198722400067001,0.9118926031350808,1.116118772745889,9.040494082725994e-05,0
AXISBANK,Banking,2024-09-10,0.013964127393862658,-0.0006609168607466298,0.0010154453617392146,0.00027439524329381606,0.014006963860731787,0.009296808300651603,0.0130648001937483,1.0080622158708694,0.9842584259374823,1.0500648724240822,1.0668589109856195,55.245825301054,-2.786448927102583,-5.64907826513502,2.862629338032437,0.9350609301510409,1.26762929107016,-0.0004062924666436373,0
AXISBANK,Banking,2024-09-11,-0.0009264979335175116,0.0014867900205463914,0.0011709662117010966,0.0001681457899378643,0.012655995594672424,0.009233643608603492,0.013047920158752556,1.0058343409220054,0.9845680846719178,1.0483476776128327,1.0647792610118656,56.80571773374769,-1.7615087619105907,-4.871564364490134,3.1100556025795436,0.9228351967457336,0.8730270225532055,-0.00043303079418229853,0
AXISBANK,Banking,2024-09-12,0.014543427774814655,0.003911466064622826,0.0021784038771105073,0.00025742533254952495,0.013972351700747341,0.00954917824233073,0.013128750942509733,1.018049637085978,0.9997017101640012,1.0626091829775741,1.062926243072299,64.17736116449998,0.43647131289480967,-3.8099572290131456,4.246428541907955,0.9048913908063806,1.0844529629174415,-0.00035973592014266207,0
AXISBANK,Banking,2024-09-13,0.01171733375298567,0.009948144974666784,0.002168050699572527,-3.32053370303768e-05,0.006302318002087777,0.009538161437397844,0.012662947171672928,1.0263143451236552,1.0124511724207161,1.0739718243594254,1.0607640680504293,66.64306266646426,3.2773915145717183,-2.3924874802961726,5.669878994867891,0.9254571050526457,0.9613647518815714,0.0005167072070357604,0
AXISBANK,Banking,2024-09-16,0.011170983881919172,0.010093874974012929,0.003309365108224571,-2.1616691171333357e-05,0.006324985670893239,0.009155009096579212,0.012673041635246443,1.0340961515204432,1.0245939266980493,1.084820707071191,1.0587811217730267,67.25569384472102,6.549817488208873,-0.604026486595163,7.153843974804037,0.92181426077857,0.5852582239552865,0.001668465779608369,0
AXISBANK,Banking,2024-09-17,0.0008528057985632831,0.007471610654953054,0.0027125073899727293,2.0161089875186942e-05,0.0070010522399322145,0.008889668331778988,0.012671701250979554,1.031468937012827,1.0263895784809707,1.084623898651349,1.0567370532508362,72.63971803540298,9.122719135690886,1.3413226378620475,7.781396497828839,0.9247467206632911,1.1526135004138853,0.0012598466980718371,0
AXISBANK,Banking,2024-09-18,0.006777068411453868,0.00901232392394733,0.002777388379753487,0.00025904360282821837,0.0053419122054519505,0.008915623069483139,0.012661555460354312,1.0330325464261034,1.0341450664348606,1.0908117517350997,1.054795683061752,73.40764331210191,11.70009278450425,3.4130766671904884,8.287016117313762,0.9163118935953238,1.1892366676330202,0.0015498165818885355,0
AXISBANK,Banking,2024-09-19,0.001813832223868106,0.0064664048137580196,0.0030575422207379855,-0.000299032427056591,0.005073478994041483,0.008785503634013914,0.011799568056419298,1.0295774379008167,1.0368109678426807,1.0916624406065867,1.0529040244221537,73.90991393647099,13.765399607255404,5.483541255203472,8.28185835205193,0.8511693265980457,1.2012811692165395,0.0018379764230604112,0
AXISBANK,Banking,2024-09-20,0.0018508568790951418,0.004493109438979914,0.0033210324473598673,-0.00045104727565677035,0.004393811308069278,0.008659157107382506,0.011710319655153718,1.0241645433028281,1.0395218659953516,1.0926049053382296,1.051064860758894,71.64864953902195,15.40997071128686,7.468827146420151,7.941143564866709,0.799395873651194,1.9937271489859798,0.0013869223846865507,0
AXISBANK,Banking,2024-09-23,0.0014457822812625754,0.002548069118848595,0.0032067719527234585,-0.00047298010349896,0.0023978426626598912,0.008668534816375662,0.011705431608751784,1.0192770092280896,1.041876442314726,1.0932852357053802,1.049342504833337,71.42853077601661,16.666307190937232,9.308323155323569,7.357984035613663,0.8002124777798543,0.7157834290022534,0.001363111992300381,0
AXISBANK,Banking,2024-09-24,-0.005814858191972139,0.0012145363207415106,0.002448204513574942,-0.00026344344761062844,0.004504766492347787,0.008765328532392279,0.011489861244751844,1.0090317068974262,1.037165793102723,1.0861368301541554,1.047216209189597,75.31723876499177,16.882836021553658,10.823225728569588,6.05961029298407,0.7880672442072848,1.2047259169818592,0.0006162377725787648,0
AXISBANK,Banking,2024-09-25,0.02303246402449588,0.004465615443349913,0.004035808877203106,0.00016455825447418045,0.010878928179295328,0.009482311265347093,0.011871502387595005,1.025427416860279,1.0617534466480536,1.1103539668659754,1.0457738285393405,79.60768564610065,19.135623599337123,12.485705302723096,6.649918296614027,0.8045435848526518,0.8869757164764801,0.0021501144325848983,0
AXISBANK,Banking,2024-09-26,0.007097324663343008,0.005522313931244893,0.004200654648634727,0.00039511174697656005,0.010813362035289226,0.009506630082752385,0.011869544711001562,1.026582998699274,1.0697709390447414,1.1174890647490443,1.0446059282063813,93.81717122737437,21.39990330141859,14.268544902462196,7.131358398956394,0.8038912997941355,0.9410351561720077,0.0021063074622599655,1
AXISBANK,Banking,2024-09-27,-0.003092966946552589,0.004533549166115347,0.004052388403149437,-1.0141905508120885e-05,0.011440830203034786,0.009600349229560092,0.011557389953125148,1.0188460441170115,1.0671102310881857,1.1133431051269418,1.0433253029460792,90.30737207752946,22.615205173813138,15.937876956732387,6.677328217080751,0.775656528347938,1.6959475116719496,0.0021956903789697333,0
AXISBANK,Banking,2024-09-30,-0.03216432155147542,-0.0021884716004322512,0.001867698279876273,-0.0005579329620880536,0.020216589585529868,0.012378787352581128,0.012279375351035826,0.985984819985744,1.0338297783225716,1.0770031055621176,1.0417605762039437,64.85151948181814,20.045763864591663,16.759454338304245,3.2863095262874182,0.8679554011855303,1.0601642719406847,0.0007988428039593543,1
AXISBANK,Banking,2024-10-01,-0.004504161046834931,-0.0019263321714048098,0.0015247244858857811,-0.0007130242319921357,0.020166247360246806,0.01245933036765553,0.012269300574987277,0.9819720203577647,1.0301386644101107,1.0716385276057177,1.0402857058271577,63.000958907973036,17.361867904761084,16.87993705159561,0.4819308531654727,0.8693497076956889,1.3700817160719336,0.0004851664311375792,1
AXISBANK,Banking,2024-10-03,-0.04153589154569226,-0.014840003285442438,3.1181525600298966e-05,-0.0014156471876811498,0.02084988794003275,0.015534506424843154,0.013351006625535214,0.9460889334077703,0.9888049610212052,1.026923536542633,1.0385501459075004,42.71027200511245,11.000327458863921,15.704015133049273,-4.7036876741853515,0.9934509924270801,1.9915220786827073,-0.00010906186695145982,1
